Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	0.8277	1.0000	0.7090	1.0000
0	0.8277	0.3422	0.7090	0.9000
1	0.3060	0.3422	0.8990	0.9000
1	0.3060	0.2571	0.8990	0.9158
2	0.2306	0.2571	0.9241	0.9158
2	0.2306	0.2226	0.9241	0.9281
3	0.1859	0.2226	0.9416	0.9281
3	0.1859	0.1962	0.9416	0.9333
4	0.1541	0.1962	0.9486	0.9333
4	0.1541	0.2083	0.9486	0.9263
5	0.1410	0.2083	0.9535	0.9263
5	0.1410	0.1810	0.9535	0.9491
6	0.1193	0.1810	0.9627	0.9491
6	0.1193	0.1564	0.9627	0.9474
7	0.1055	0.1564	0.9649	0.9474
7	0.1055	0.1545	0.9649	0.9509
8	0.0996	0.1545	0.9688	0.9509
8	0.0996	0.1628	0.9688	0.9491
9	0.0942	0.1628	0.9671	0.9491
9	0.0942	0.1561	0.9671	0.9544
10	0.0771	0.1561	0.9802	0.9544
10	0.0771	0.1615	0.9802	0.9509
11	0.0787	0.1615	0.9737	0.9509
11	0.0787	0.1558	0.9737	0.9456
12	0.0629	0.1558	0.9824	0.9456
12	0.0629	0.1533	0.9824	0.9456
13	0.0674	0.1533	0.9811	0.9456
13	0.0674	0.1399	0.9811	0.9544
14	0.0593	0.1399	0.9842	0.9544
14	0.0593	0.1206	0.9842	0.9667
15	0.0619	0.1206	0.9816	0.9667
15	0.0619	0.1375	0.9816	0.9596
16	0.0550	0.1375	0.9824	0.9596
16	0.0550	0.1415	0.9824	0.9561
17	0.0504	0.1415	0.9895	0.9561
17	0.0504	0.1450	0.9895	0.9579
18	0.0644	0.1450	0.9811	0.9579
18	0.0644	0.1413	0.9811	0.9561
19	0.0601	0.1413	0.9838	0.9561
19	0.0601	0.1459	0.9838	0.9491
20	0.0428	0.1459	0.9921	0.9491
20	0.0428	0.1487	0.9921	0.9544
21	0.0518	0.1487	0.9877	0.9544
21	0.0518	0.1409	0.9877	0.9596
22	0.0484	0.1409	0.9890	0.9596
22	0.0484	0.1385	0.9890	0.9579
23	0.0505	0.1385	0.9868	0.9579
23	0.0505	0.1337	0.9868	0.9579
24	0.0486	0.1337	0.9881	0.9579
24	0.0486	0.1622	0.9881	0.9509
初始学习率：0.0009
训练完成时间: 10m 53s
最佳验证精度: 0.966667
