Epoch	Train Loss	Val Loss	Train Acc	Val Acc
0	0.6733	1.0000	0.7748	1.0000
0	0.6733	0.3972	0.7748	0.8421
1	0.3618	0.3972	0.8718	0.8421
1	0.3618	0.4264	0.8718	0.8421
2	0.3640	0.4264	0.8652	0.8421
2	0.3640	1.1292	0.8652	0.7228
3	0.4136	1.1292	0.8600	0.7228
3	0.4136	0.6210	0.8600	0.7737
4	0.2746	0.6210	0.9030	0.7737
4	0.2746	0.3293	0.9030	0.8930
5	0.2403	0.3293	0.9135	0.8930
5	0.2403	0.3729	0.9135	0.8772
6	0.1892	0.3729	0.9372	0.8772
6	0.1892	0.4926	0.9372	0.8491
7	0.2645	0.4926	0.9113	0.8491
7	0.2645	0.3342	0.9113	0.8825
8	0.1918	0.3342	0.9306	0.8825
8	0.1918	0.6130	0.9306	0.8474
9	0.1543	0.6130	0.9438	0.8474
9	0.1543	0.2680	0.9438	0.9228
10	0.1253	0.2680	0.9552	0.9228
10	0.1253	0.3287	0.9552	0.9035
11	0.1142	0.3287	0.9605	0.9035
11	0.1142	0.3817	0.9605	0.8947
12	0.0982	0.3817	0.9666	0.8947
12	0.0982	0.3314	0.9666	0.9053
13	0.0807	0.3314	0.9723	0.9053
13	0.0807	0.3052	0.9723	0.9263
14	0.0971	0.3052	0.9701	0.9263
14	0.0971	0.2441	0.9701	0.9246
15	0.0654	0.2441	0.9789	0.9246
15	0.0654	0.2548	0.9789	0.9211
16	0.0340	0.2548	0.9908	0.9211
16	0.0340	0.2221	0.9908	0.9263
17	0.0311	0.2221	0.9895	0.9263
17	0.0311	0.2773	0.9895	0.9246
18	0.0281	0.2773	0.9903	0.9246
18	0.0281	0.2641	0.9903	0.9246
19	0.0245	0.2641	0.9917	0.9246
19	0.0245	0.2955	0.9917	0.9281
20	0.0205	0.2955	0.9912	0.9281
20	0.0205	0.2503	0.9912	0.9404
21	0.0164	0.2503	0.9939	0.9404
21	0.0164	0.2223	0.9939	0.9404
22	0.0141	0.2223	0.9952	0.9404
22	0.0141	0.2620	0.9952	0.9351
23	0.0187	0.2620	0.9925	0.9351
23	0.0187	0.2504	0.9925	0.9386
24	0.0171	0.2504	0.9956	0.9386
24	0.0171	0.2242	0.9956	0.9491
初始学习率：0.0009
训练完成时间: 10m 56s
最佳验证精度: 0.949123
